SP500,AAPL,AMZN,FB,GOOG,MSFT
2359.27,143.79,893.42,142.45,839.45,65.59
2358.52,143.77,892.93,142.4,839.16,65.58
2358.1299,143.76,892.5,142.325,839.27,65.55
2358.1399,143.7,892.28,142.32,838.83,65.53
2358.6799,143.72,892.06,142.2901,838.95,65.54
2358.8999,143.7499,892.42,142.356,839.2899,65.57
2359.1499,143.78,892.265,142.36,839.16,65.58
2359.3501,143.74,892.29,142.3743,839.08,65.58
2358.9099,143.7754,892.385,142.385,839.21,65.59
2358.8999,143.75,892.38,142.34,838.78,65.55
2358.96,143.775,892.37,142.3425,838.8,65.56
2358.96,143.7,891.51,142.28,838.55,65.53
2354.1101,143.27,891.5,141.775,831.335,65.38
2355.55,143.2763,890.32,141.7,829.94,65.34
2355.4199,143.53,891.25,141.77,831.29,65.515
2354.8701,143.4,891.535,141.74,832.61,65.385
2354.74,143.42,892.185,141.68,832.12,65.46
2355.55,143.3999,893.4961,141.67,833.3604,65.44
2354.52,143.56,893.32,141.82,833.02,65.53
2354.21,143.53,893.24,141.65,831.37,65.56
2354.95,143.515,892.48,141.66,830.89,65.56
2354.01,143.5738,893.595,141.71,831.77,65.56
2355.02,143.62,893.06,141.77,831.61,65.5456
2355.5701,143.75,894.68,141.85,832.71,65.52
2356.8601,143.7812,896.19,141.75,832.87,65.53
2357.27,143.91,898.09,141.89,833.55,65.57
2356.95,143.86,896.785,141.92,834.63,65.62
2356.9399,143.7614,897.39,141.87,834.08,65.62
2357.4299,143.86,898.05,141.93,833.34,65.5951
2357.0701,143.8512,898.38,142.07,833.79,65.61
2356.3301,143.8701,898.68,142.0046,834.07,65.61
2356.26,143.78,897.59,141.85,833.4,65.61
2356.27,143.76,897.34,141.78,832.75,65.58
2355.97,143.75,897.0501,141.6998,831.91,65.55
2355.6201,143.74,896.686,141.6846,831.64,65.5525
2355.6599,143.72,896.71,141.605,831.43,65.52
2354.98,143.69,897.97,141.64,831.67,65.51
2355.3301,143.63,898.299,141.62,831.56,65.5
2355.9299,143.6,898.42,141.61,831.68,65.5
2355.53,143.6616,898.5769,141.61,832.0,65.525
2355.7,143.68,898.3789999999999,141.59,831.06,65.52
2355.9099,143.66,898.45,141.62,831.025,65.55
2356.1101,143.66,898.63,141.62,832.4,65.53
2354.47,143.75,898.8964,141.66,831.57,65.565
2353.4299,143.5911,898.88,141.5904,831.2,65.5383
2352.6799,143.58,898.07,141.61,831.0,65.535
2352.72,143.51,896.88,141.595,830.6,65.495
2352.8601,143.55,897.6110000000001,141.58,830.42,65.51
2353.25,143.64,898.18,141.6467,831.1,65.52
2353.04,143.65,897.42,141.6,830.61,65.52
2351.3701,143.62,897.2,141.52,830.565,65.48
2351.78,143.55,896.0,141.43,830.03,65.41
2351.22,143.609,896.39,141.4367,830.35,65.42
2351.1299,143.58,896.31,141.42,830.425,65.41
2351.53,143.63,897.0,141.45,830.59,65.425
2351.8301,143.645,896.201,141.47,830.97,65.44
2352.23,143.642,896.9116,141.46,830.9601,65.44
2351.73,143.7,897.22,141.5601,831.45,65.45
2352.3101,143.7299,897.75,141.58,831.55,65.4467
2352.48,143.81,897.99,141.66,832.11,65.49
2352.6599,143.82,898.14,141.67,832.24,65.49
2351.6001,143.86,898.54,141.71,832.94,65.5
2352.52,143.775,898.3013,141.621,832.1187,65.4601
2352.8201,143.7768,898.745,141.64,831.84,65.493
